customer_id,name,email,city,country,update_timestamp
13502,Dishani Bahl,iravi@example.com,Sagar,India,2025-10-26T12:29:21.377454
17980,Hiran Chauhan,alia12@example.org,Ozhukarai,India,2025-09-14T12:29:21.377469
12734,Suhana Bose,ssarraf@example.org,Satna,India,2025-10-14T12:29:21.377471
13898,Riya Mannan,sara06@example.net,Malda,India,2025-12-22T12:29:21.377473
17343,Ritvik Deol,parinaaz40@example.com,Bokaro,India,2025-10-08T12:29:21.377474
12990,Elakshi Kothari,gdara@example.com,Tinsukia,India,2025-10-15T12:29:21.377476
17718,Kanav Kamdar,issacbaiju@example.org,Latur,India,2025-09-05T12:29:21.377477
17715,Rania Babu,kseth@example.org,Coimbatore,India,2025-10-07T12:29:21.377479
17733,Piya Vohra,ayesha67@example.net,South Dumdum,India,2025-11-20T12:29:21.377481
13672,Ahana  Mallick,veervirk@example.net,Anantapuram,India,2025-07-30T12:29:21.377482
12740,Raunak Chander,sawhneynehmat@example.com,Barasat,India,2025-10-23T12:29:21.377484
16789,Tiya Apte,faiyazsur@example.net,Cuttack,India,2025-07-28T12:29:21.377485
17307,Eva Sant,dhanush50@example.org,Navi Mumbai,India,2025-12-13T12:29:21.377486
17188,Rasha Jaggi,sekhonishaan@example.com,Sonipat,India,2025-08-15T12:29:21.377488
16271,Kashvi Acharya,xkhosla@example.com,Firozabad,India,2025-11-03T12:29:21.377489
17572,Rati Dash,dhruv85@example.net,Nadiad,India,2025-11-20T12:29:21.377490
16143,Bhavin Chacko,ramanathanzoya@example.com,Jehanabad,India,2025-12-13T12:29:21.377491
14711,Kiaan Datta,wsrinivasan@example.net,Etawah,India,2025-08-03T12:29:21.377493
17459,Diya Balan,drishya58@example.com,Dhanbad,India,2025-12-03T12:29:21.377494
14857,Lavanya Venkataraman,deoladvik@example.org,Madurai,India,2025-10-01T12:29:21.377495
12484,Devansh Garde,veerbhat@example.net,Vijayanagaram,India,2025-09-13T12:29:21.377496
13267,Purab Srivastava,nayantaradua@example.org,Karnal,India,2025-10-27T12:29:21.377497
15738,Samiha Varma,inaaya-61@example.org,Nizamabad,India,2025-11-13T12:29:21.377499
14699,Anika Kadakia,gtrivedi@example.org,Gopalpur,India,2025-10-07T12:29:21.377500
14032,Dharmajan Sachdeva,osaran@example.net,Dehradun,India,2025-10-04T12:29:21.377501
18114,Jayan Krishnan,raunak14@example.com,Bidhannagar,India,2025-11-28T12:29:21.377502
14592,Kimaya Sekhon,anayabumb@example.net,Darbhanga,India,2025-10-13T12:29:21.377504
14723,Aaina Madan,chahaljhanvi@example.org,Thrissur,India,2025-10-23T12:29:21.377505
17450,Mohanlal Bahl,hunar11@example.org,Durgapur,India,2025-08-26T12:29:21.377506
16399,Indranil Sengupta,vidur30@example.com,Solapur,India,2025-10-13T12:29:21.377507
12877,Aarna Uppal,yashvichhabra@example.net,Berhampur,India,2025-10-05T12:29:21.377508
15372,Akarsh Dubey,shenoybadal@example.net,Amroha,India,2025-09-07T12:29:21.377509
18138,Amani Shankar,pkadakia@example.com,Kurnool,India,2025-12-16T12:29:21.377510
17078,Kanav Mane,vorayakshit@example.com,Vadodara,India,2025-12-17T12:29:21.377512
17968,Rhea Bora,sara38@example.net,Visakhapatnam,India,2025-11-21T12:29:21.377513
13934,Nitara Tiwari,nirvi37@example.org,Bhopal,India,2025-08-04T12:29:21.377514
12847,Miraan Manda,reyanshkakar@example.com,Sasaram,India,2025-10-31T12:29:21.377516
12731,Zara Swamy,madhav40@example.com,Bahraich,India,2025-08-08T12:29:21.377517
